,wpm,acc,rawWpm,consistency,charStats,testDuration,language
137,106.4,96.55,116.0,72.07,"133,3,0,0",15.0,english
138,116.0,91.02,133.6,83.98,"145,9,3,0",15.0,english
139,120.0,96.2,124.0,77.3,"150,2,0,0",15.0,english
140,107.2,95.24,117.6,79.19,"134,3,2,0",15.0,english
141,112.0,99.3,114.4,77.06,"140,1,0,0",15.0,english
142,105.6,98.54,109.6,77.79,"132,1,0,0",15.0,english
143,120.0,95.27,135.2,83.64,"150,4,1,1",15.0,english
144,108.73,97.9,108.73,57.75,"136,0,0,0",15.01,english
145,99.2,96.3,106.4,72.79,"124,2,0,0",15.0,english
146,108.8,97.14,108.8,77.64,"136,0,0,0",15.0,english
147,112.57,99.3,112.57,77.22,"141,0,0,0",15.03,english
148,93.6,93.02,97.6,67.45,"117,2,0,0",15.0,english
149,107.2,99.26,107.2,74.02,"134,0,0,0",15.0,english
150,106.33,96.5,112.72,74.63,"133,2,0,0",15.01,english
151,104.8,97.84,104.8,62.33,"131,0,0,0",15.0,english
152,110.4,100.0,110.4,81.73,"138,0,0,0",15.0,english
153,104.0,97.01,104.0,75.66,"130,0,0,0",15.0,english
154,91.2,89.86,109.6,72.73,"114,9,1,0",15.0,english
155,100.0,93.71,111.2,74.06,"125,2,1,0",15.0,english
156,116.0,100.0,116.0,82.42,"145,0,0,0",15.0,english
157,109.6,94.81,123.2,86.47,"137,4,1,1",15.0,english
158,110.4,94.77,122.4,86.04,"138,5,1,0",15.0,english
159,113.6,100.0,113.6,78.57,"142,0,0,0",15.0,english
160,97.6,93.48,110.4,78.92,"122,5,1,1",15.0,english
161,116.0,99.32,116.0,76.73,"145,0,0,0",15.0,english
162,90.4,93.13,102.4,63.93,"113,3,1,1",15.0,english
163,106.4,100.0,106.4,82.11,"133,0,0,0",15.0,english
164,100.0,97.06,104.8,65.96,"125,1,0,0",15.0,english
165,101.6,99.22,101.6,73.67,"127,0,0,0",15.0,english
166,92.8,94.31,94.4,75.53,"116,2,0,0",15.0,english
167,101.6,100.0,101.6,74.17,"127,0,0,0",15.0,english
168,97.53,96.12,97.53,61.62,"122,0,0,0",15.01,english
169,124.0,100.0,124.0,86.01,"155,0,0,0",15.0,english
170,104.0,93.01,108.0,75.22,"130,2,0,1",15.0,english
171,96.8,96.18,101.6,76.18,"121,1,0,1",15.0,english
172,101.6,96.27,101.6,75.66,"127,0,0,0",15.0,english
173,100.8,97.76,107.2,80.2,"126,2,0,0",15.0,english
174,108.0,97.83,108.0,69.47,"135,0,0,0",15.0,english
175,103.2,98.48,103.2,75.73,"129,0,0,0",15.0,english
176,92.0,94.12,108.8,84.16,"115,4,1,1",15.0,english
177,92.0,90.3,104.0,69.84,"115,6,0,1",15.0,english
178,105.6,93.71,112.8,74.35,"132,4,1,1",15.0,english
179,104.8,97.14,112.0,80.18,"131,2,0,1",15.0,english
180,117.6,99.34,121.6,82.4,"147,1,0,0",15.0,english
181,109.6,98.56,109.6,81.74,"137,0,0,0",15.0,english
182,91.2,93.02,95.2,68.29,"114,3,0,1",15.0,english
183,116.0,98.0,120.0,83.67,"145,2,0,0",15.0,english
184,109.6,100.0,109.6,84.07,"137,0,0,0",15.0,english
185,102.4,97.81,109.6,86.82,"128,0,1,1",15.0,english
186,93.6,95.16,93.6,72.61,"117,0,0,0",15.0,english
187,110.4,97.89,113.6,76.58,"138,2,0,1",15.0,english
188,113.6,100.0,113.6,84.16,"142,0,0,0",15.0,english
189,115.2,100.0,115.2,83.95,"144,0,0,0",15.0,english
190,107.13,97.81,107.13,81.3,"134,0,0,0",15.01,english
191,96.0,88.89,114.4,80.68,"120,8,3,1",15.0,english
